time,Load
0,1171
1,1129
2,1079
3,1044
4,1019
5,1025
6,1073
7,1124
8,1150
9,1149
10,1208
11,1261
12,1281
13,1264
14,1220
15,1222
16,1227
17,1224
18,1216
19,1282
20,1363
21,1349
22,1338
23,1307
24,1235
25,1150
26,1095
27,1057
28,1036
29,1052
30,1151
31,1295
32,1263
33,1280
34,1422
35,1506
36,1499
37,1500
38,1438
39,1494
40,1534
41,1535
42,1506
43,1517
44,1557
45,1503
46,1458
47,1424
48,1352
49,1252
50,1186
51,1140
52,1108
53,1108
54,1204
55,1354
56,1311
57,1331
58,1466
59,1526
60,1570
61,1553
62,1491
63,1557
64,1596
65,1581
66,1564
67,1559
68,1600
69,1564
70,1550
71,1544
72,1469
73,1361
74,1287
75,1230
76,1198
77,1158
78,1263
79,1391
80,1352
81,1378
82,1529
83,1604
84,1615
85,1606
86,1573
87,1657
88,1667
89,1651
90,1613
91,1608
92,1671
93,1641
94,1641
95,1652
96,1598
97,1480
98,1402
99,1350
100,1300
101,1292
102,1343
103,1450
104,1389
105,1416
106,1544
107,1638
108,1637
109,1624
110,1583
111,1631
112,1719
113,1686
114,1627
115,1628
116,1662
117,1666
118,1659
119,1690
120,1670
121,1560
122,1476
123,1402
124,1350
125,1329
126,1376
127,1451
128,1422
129,1422
130,1563
131,1678
132,1678
133,1650
134,1594
135,1675
136,1707
137,1675
138,1431
139,1258
140,1255
141,1270
142,1256
143,1352
144,1327
145,1263
146,1211
147,1167
148,1134
149,1135
150,1193
151,1268
152,1244
153,1279
154,1392
155,1479
156,1513
157,1485
158,1458
159,1525
160,1522
161,1521
162,1508
163,1517
164,1581
165,1542
166,1485
167,1488
168,1470
169,1390
170,1309
171,1246
172,1209
173,1191
174,1214
175,1226
176,1208
177,1213
178,1274
179,1330
180,1358
181,1347
182,1347
183,1372
184,1379
185,1375
186,1345
187,1379
188,1467
189,1483
190,1510
191,1532
192,1500
193,1402
194,1325
195,1265
196,1219
197,1207
198,1281
199,1381
200,1212
201,1212
202,1314
203,1414
204,1445
205,1407
206,1365
207,1432
208,1461
209,1466
210,1474
211,1492
212,1546
213,1495
214,1457
215,1448
216,1384
217,1285
218,1218
219,1169
220,1140
221,1132
222,1213
223,1353
224,1292
225,1304
226,1428
227,1520
228,1540
229,1514
230,1457
231,1548
232,1577
233,1562
234,1544
235,1560
236,1606
237,1535
238,1484
239,1499
240,1452
241,1350
242,1283
243,1233
244,1193
245,1178
246,1266
247,1378
248,1311
249,1327
250,1430
251,1469
252,1512
253,1483
254,1447
255,1504
256,1533
257,1495
258,1476
259,1434
260,1469
261,1427
262,1382
263,1370
264,1304
265,1230
266,1174
267,1134
268,1028
269,946
270,1065
271,1276
272,1243
273,1261
274,1355
275,1393
276,1452
277,1434
278,1386
279,1460
280,1492
281,1482
282,1473
283,1466
284,1529
285,1489
286,1446
287,1436
288,1361
289,1269
290,1194
291,1138
292,1111
293,1107
294,1181
295,1323
296,1278
297,1297
298,1428
299,1500
300,1465
301,1464
302,1394
303,1476
304,1509
305,1484
306,1462
307,1463
308,1521
309,1473
310,1426
311,1429
312,1386
313,1304
314,1229
315,1178
316,1138
317,1130
318,1165
319,1202
320,1202
321,1233
322,1355
323,1449
324,1485
325,1448
326,1401
327,1455
328,1472
329,1470
330,1458
331,1461
332,1527
333,1495
334,1469
335,1484
336,1465
337,1389
338,1324
339,1265
340,1224
341,1207
342,1224
343,1241
344,1226
345,1218
346,1273
347,1350
348,1375
349,1380
350,1353
351,1372
352,1405
353,1393
354,1361
355,1384
356,1497
357,1537
358,1582
359,1636
360,1617
361,1515
362,1428
363,1359
364,1308
365,1280
366,1340
367,1409
368,1341
369,1364
370,1502
371,1593
372,1631
373,1562
374,1609
375,1712
376,1721
377,1694
378,1650
379,1613
380,1669
381,1654
382,1678
383,1758
384,1732
385,1620
386,1522
387,1414
388,1366
389,1339
390,1382
391,1454
392,1380
393,1394
394,1538
395,1629
396,1661
397,1658
398,1622
399,1726
400,1796
401,1764
402,1672
403,1632
404,1691
405,1688
406,1719
407,1801
408,1776
409,1668
410,1371
411,1416
412,1369
413,1370
414,1405
415,1450
416,1368
417,1340
418,1531
419,1618
420,1669
421,1663
422,1626
423,1739
424,1782
425,1762
426,1717
