time,energy_price
0,3547.81
1,3349.28
2,3158.82
3,2965.11
4,2879.66
5,3138.37
6,3568.51
7,3402.48
8,3190.26
9,2939.47
10,2999.19
11,2974.54
12,2829.62
13,2501.48
14,2727.78
15,3154.55
16,3169.34
17,3184.6
18,3142.89
19,3669.36
20,3889.69
21,4103.56
22,4075.07
23,3651.1
24,3446.93
25,3288.55
26,2974.77
27,2692.07
28,2621.19
29,2798.02
30,3278.59
31,3220.01
32,3194.3
33,3402.67
34,3427.19
35,3547.91
36,3254.34
37,2724.32
38,3135.93
39,3683.79
40,4134.47
41,4261.34
42,3414.34
43,4499.7
44,4800.17
45,4650.65
46,4726.97
47,3719.58
48,3247.61
49,3129.27
50,2944.34
51,2863.64
52,2890.46
53,2939.14
54,3594.26
55,3812.23
56,3992.29
57,3471.78
58,3423.73
59,3679.86
60,3562.89
61,2998.98
62,3342.85
63,3825.3
64,4049.91
65,3512.58
66,3471.93
67,5235.57
68,6434.02
69,6390.34
70,5862.37
71,3615.66
72,5377.67
73,4012.54
74,3464.4
75,3166.48
76,3393.37
77,3834.08
78,4906.47
79,4563.11
80,4316.62
81,4328.36
82,4428.79
83,4642.89
84,4520.31
85,3987.41
86,4774.84
87,5440.57
88,5462.58
89,4675.2
90,3930.52
91,5421.68
92,5958.02
93,6568.24
94,6500.85
95,6249.91
96,5850.22
97,4005.17
98,3771.14
99,3146.25
100,3478.93
101,3813.77
102,6316.64
103,4944.59
104,4694.3
105,5147.61
106,4695.37
107,4809.58
108,4399.76
109,3718.21
110,4508.65
111,5693.53
112,5575.46
113,4851.46
114,4315.78
115,6441.32
116,6286.53
117,6960.14
118,7500.37
119,6840.19
120,4249.9
121,3620.39
122,3279.13
123,3125.18
124,3480.6
125,3548.59
126,5452.46
127,5308.59
128,4135.17
129,3994.03
130,3396.64
131,3578.8
132,3353.28
133,3228.08
134,3785.15
135,4089.1
136,4386.95
137,4081.45
138,4081.91
139,5987.61
140,5497.44
141,5187.51
142,5249.43
143,4404.73
144,6300.09
145,4711.81
146,3927.66
147,3483.46
148,3557.77
149,3933.05
150,4797.53
151,5126.74
152,4078.76
153,3977.33
154,3514.48
155,4080.43
156,3826.55
157,3394.38
158,4003.38
159,4292.52
160,4219.05
161,3897.97
162,3877.69
163,6037.92
164,5552.82
165,5184.43
166,5800.66
167,4601.71
168,4444.59
169,3919.94
170,3510.38
171,3161.65
172,3424.9
173,3606.27
174,4459.23
175,4123.85
176,3734.98
177,3547.36
178,3160.17
179,3224.01
180,3022.92
181,2872.09
182,2869.73
183,2977.03
184,2989.73
185,2839.5
186,2953.22
187,3822
188,3839.41
189,4019.68
190,4264.47
191,4285.95
192,3589.61
193,3401.64
194,2956.99
195,2716.3
196,2830.81
197,3379.46
198,3743
199,3859.87
200,3650.64
201,3925.24
202,3532.79
203,4133
204,4170.91
205,3618.03
206,3800.48
207,4358.24
208,4456.72
209,3938.19
210,3800.42
211,4310.96
212,4051.85
213,4312.2
214,5092.52
215,4749.63
216,3850.09
217,3498.71
218,3006.9
219,2579.51
220,2973.73
221,3120.28
222,4051.38
223,3972.79
224,3202.3
225,3212.51
226,3002.57
227,2973.57
228,2998.2
229,2883.69
230,3093.88
231,3287.17
232,3863.49
233,3522.66
234,3413.37
235,4594.72
236,4283.95
237,4650.53
238,4793.13
239,4000.38
240,3601.38
241,3317.22
242,2800.72
243,2488.48
244,2809.95
245,3154.69
246,3595.74
247,3445.4
248,2927.58
249,2772.2
250,2592.22
251,2679.34
252,2604.71
253,2539.38
254,2839.57
255,3124.81
256,3198.73
257,3059.31
258,3624.14
259,4311.36
260,4374.77
261,4128.8
262,4756.86
263,4036.94
264,3654.61
265,3161.14
266,2704.57
267,2747.02
268,2907.49
269,3344.63
270,3695.27
271,3421.03
272,2864.76
273,3057.06
274,2855.02
275,3094.36
276,2845.11
277,2659.43
278,3096.59
279,3687.18
280,3948.3
281,3775.76
282,3812.01
283,5256.04
284,4999.7
285,4617
286,5397.28
287,4378.18
288,3487.72
289,3449.57
290,2978.33
291,2647
292,2721.03
293,2909.59
294,3425.6
295,3212.05
296,2547
297,2539.27
298,2567.18
299,2860.61
300,2639.66
301,2531.14
302,2915.11
303,3418.79
304,3299.95
305,3198.89
306,3150.18
307,3811.41
308,4023.7
309,4354.3
310,4849.51
311,3875.56
312,4406.25
313,3573.13
314,3396.94
315,2923.55
316,2980.75
317,2985.37
318,3620.05
319,3310.35
320,3107.44
321,3141.87
322,3053.31
323,3214.13
324,3285.42
325,3083.49
326,3537.79
327,3958.16
328,4075.19
329,3498.56
330,3354.61
331,4323.21
332,4409.02
333,4785.43
334,5874.96
335,4464.4
336,5067.35
337,4195.69
338,3597.9
339,3385.45
340,3602.91
341,3459.8
342,3406.93
343,3244.83
344,2989.58
345,2740.89
346,2646.97
347,2867.92
348,2742.27
349,2664.53
350,3080.4
351,3227.56
352,3480.85
353,2922.14
354,2918.62
355,3528.88
356,3662.34
357,4302.38
358,4399.65
359,5302.25
360,4501.71
361,3770.52
362,3249.79
363,3213.3
364,3553.04
365,3441.14
366,3784.68
367,4040.58
368,3832.85
369,3550.67
370,3149.9
371,3321.23
372,3607.06
373,3596.6
374,3929.37
375,4038.6
376,4218.28
377,4294.28
378,4369.88
379,6313.2
380,5637.9
381,5593.82
382,6135.39
383,5462.52
384,5191.67
385,4595.52
386,3590.38
387,3221.3
388,3647.45
389,3596.42
390,3881.26
391,3660.8
392,3476.88
393,3082.47
394,2947.52
395,2905.54
396,3049.45
397,3034.62
398,3187.2
399,3612.57
400,3624.27
401,3630.24
402,3780.48
403,4859.32
404,4567.15
405,4594.51
406,6050.17
407,4739.01
408,5630.24
409,4005.21
410,3969.8
411,3671.14
412,3788.5
413,3960.34
414,4407.24
415,3803.34
416,3603.19
417,3478.04
418,3279.67
419,3014.04
420,2993.61
421,2799.7
422,3076.88
423,3742.12
424,3870.89
425,3600.89
426,3402.7
427,4143.62
428,4480.13
429,4876.41
430,6250.64
431,5550.23
432,5897.27
433,4713.13
434,4642.29
435,3798.58
436,3784.59
437,3983.42
438,4433.07
439,4336.36
440,3819.4
441,3976.13
442,3723.95
443,3701.91
444,3483.82
445,2824.59
446,3244.6
447,3976.03
448,3976.49
449,3956.88
450,3500.99
451,4747.08
452,5313.33
453,4408.13
454,4435.89
455,4596.59
456,5246.41
457,4163.47
458,3995.62
459,4021.5
460,4512.23
461,4010.01
462,4383.84
