time,Load
0,671.0041019
1,641.7672702
2,640.2588354
3,621.7922244
4,646.0778189
5,722.834985
6,891.3455077
7,1011.390005
8,965.5836605
9,851.5715783
10,795.8670089
11,764.7095492
12,696.092971
13,644.4670464
14,670.7464728
15,758.3693685
16,842.290664
17,905.6267516
18,749.2013144
19,831.8364168
20,766.203672
21,828.1370167
22,856.1756339
23,846.2585542
24,788.5433248
25,752.1218627
26,737.4558708
27,748.216027
28,759.6501326
29,857.3085579
30,1099.436505
31,1227.268531
32,1146.339407
33,1053.750355
34,1082.866368
35,1055.10648
36,880.9884347
37,761.2878442
38,803.1099859
39,893.6074646
40,1005.010258
41,1145.797658
42,941.1301293
43,1107.503899
44,1132.676539
45,1116.275866
46,1091.002897
47,1147.966084
48,1151.664782
49,1099.563683
50,1066.982065
51,1077.026475
52,1072.253005
53,1121.784064
54,1282.412024
55,1323.555951
56,1206.825071
57,1169.864344
58,1206.475147
59,1234.832408
60,1149.090487
61,1101.156286
62,1142.42136
63,1243.018128
64,1331.45824
65,1420.528698
66,1391.788083
67,1339.604762
68,1192.961834
69,1250.132878
70,1334.152394
71,1322.900201
72,1144.419849
73,1194.272996
74,1110.477405
75,1074.390137
76,1082.58665
77,1127.052899
78,1289.862255
79,1313.257351
80,1206.957774
81,1189.913318
82,1257.8772
83,1258.901049
84,1235.480204
85,1201.929656
86,1250.292971
87,1346.63542
88,1360.679087
89,1424.784768
90,1360.14118
91,1435.732149
92,1387.182423
93,1222.6902
94,1326.166778
95,1345.297548
96,1287.372273
97,1256.133824
98,1229.676653
99,1172.088017
100,1127.12704
101,1162.490461
102,1252.861486
103,1247.319859
104,1164.924521
105,1166.440878
106,1198.143477
107,1168.16179
108,1188.372708
109,1151.447002
110,1168.885449
111,1256.024433
112,1376.774882
113,1483.260396
114,1446.293433
115,1302.515742
116,1182.73059
117,1272.509977
118,1394.520475
119,1467.481957
120,1364.063075
121,1295.896638
122,1261.619614
123,1207.948669
124,1154.849543
125,1166.338159
126,1258.804798
127,1255.88932
128,1172.800415
129,1136.834098
130,1180.505707
131,1187.719714
132,1157.989185
133,1060.721977
134,1087.736234
135,1174.552491
136,1260.965627
137,1432.386991
138,979.7280867
139,823.3736582
140,825.5285359
141,978.2127217
142,944.2364295
143,1057.533044
144,1005.930491
145,970.4581269
146,922.8949556
147,878.273502
148,865.4923556
149,848.3438663
150,1001.975508
151,1095.827961
152,1079.311538
153,1036.966784
154,1120.501101
155,1089.318363
156,1102.280622
157,1064.037521
158,1114.409299
159,1243.56009
160,1359.948715
161,1264.580948
162,1173.411343
163,1192.143507
164,1196.845661
165,1180.326788
166,1135.235118
167,1090.396433
168,1040.914788
169,977.9295736
170,920.680139
171,944.1397371
172,964.1506737
173,990.7700191
174,1030.989124
175,1033.979829
176,1028.673077
177,959.5520526
178,928.9226343
179,907.7331073
180,818.8926663
181,779.0759405
182,914.2838779
183,929.0817344
184,1028.321807
185,1150.12938
186,1079.77021
187,1202.967731
188,1206.482199
189,1144.033591
190,1111.916892
191,1085.298536
192,1044.460442
193,943.6445109
194,904.8715659
195,966.7678288
196,967.5598831
197,1018.076656
198,1154.243926
199,1095.946457
200,965.9747737
201,920.3306979
202,955.0428746
203,980.086155
204,899.8025268
205,856.2899587
206,901.2313336
207,949.6895302
208,978.7558249
209,1075.26288
210,1084.937759
211,1163.649751
212,1057.363013
213,1002.819783
214,1185.39084
215,1110.566666
216,1067.563876
217,1000.302008
218,1026.936458
219,1020.181393
220,1003.81302
221,1056.90572
222,1264.72169
223,1319.035163
224,1190.754381
225,1131.01962
226,1179.805344
227,1169.820189
228,1133.83937
229,1081.800923
230,1106.27411
231,1245.959027
232,1260.17874
233,1188.993907
234,1245.825443
235,1197.176538
236,1151.890948
237,1118.669997
238,1146.578398
239,1169.400366
240,1159.73574
241,1057.905348
242,1020.487105
243,955.5683689
244,971.6364456
245,1036.118936
246,1219.970042
247,1242.046703
248,1164.450355
249,1090.849281
250,1104.247942
251,1043.45428
252,958.6857025
253,896.562847
254,942.9095969
255,987.1769453
256,1014.308874
257,1093.835918
258,1069.115097
259,929.7950841
260,941.631003
261,1073.697677
262,1032.60903
263,1045.294253
264,940.848938
265,898.9274589
266,896.6780572
267,818.8435486
268,724.6310134
269,743.1977318
270,997.3929673
271,1056.96394
272,1014.402639
273,929.1764133
274,960.6726255
275,961.8809507
276,1008.725558
277,933.1531451
278,972.7598504
279,1080.287146
280,1170.201667
281,1148.163029
282,1082.596238
283,1076.039448
284,1052.402129
285,1031.011289
286,1105.138039
287,1148.865425
288,939.3127863
289,943.6134717
290,1091.392013
291,975.8798224
292,1028.526817
293,975.3778907
294,1140.604456
295,1200.592339
296,1083.48372
297,1057.221248
298,1088.067896
299,1092.85974
300,1119.548335
301,989.9044791
302,1018.329391
303,1067.823021
304,1135.117303
305,1080.017101
306,1054.765427
307,1114.233703
308,1132.604353
309,1103.209971
310,1128.127737
311,1152.410101
312,1121.544241
313,1073.816805
314,1066.554284
315,1054.820458
316,1009.374919
317,1029.438607
318,1079.462413
319,1098.880646
320,1058.17083
321,1005.194562
322,1052.341608
323,1083.197317
324,1036.889312
325,957.6651022
326,1008.89352
327,1065.634761
328,1033.146738
329,1247.805785
330,953.5612787
331,1165.769319
332,1185.3191
333,1174.498578
334,1331.551453
335,1282.24404
336,1221.962794
337,1165.451265
338,1125.482804
339,1119.289222
340,1130.728769
341,1168.046477
342,1184.01144
343,1215.483297
344,1124.076335
345,1018.587832
346,994.9546368
347,990.0329299
348,988.1183173
349,968.1715726
350,1012.724224
351,1083.020833
352,1130.539807
353,1198.844751
354,1017.339884
355,1048.338678
356,1103.172964
357,1099.423225
358,1252.477178
359,1278.76549
360,1252.448511
361,1167.643548
362,1094.659964
363,1088.450223
364,1003.239561
365,1062.754395
366,1270.641261
367,1252.7729
368,1218.996117
369,1164.323762
370,1204.005673
371,1196.579112
372,1207.625974
373,1191.608971
374,1286.993
375,1379.774033
376,1360.778607
377,1301.617677
378,1255.427108
379,1221.724589
380,1205.848241
381,1231.823114
382,1344.398663
383,1449.176084
384,1384.430101
385,1236.063913
386,1156.876853
387,1175.645329
388,1138.990252
389,1131.983898
