,ca_number,heating_start_month,heating_end_month,cooling_start_month,cooling_end_month
0,101836217,October,February,April,September
1,150160715,November,April,March,September
2,102300744,November,January,August,September
3,101737090,November,April,May,October
4,152848762,November,March,May,September
5,151985460,November,February,April,September
6,102736662,October,February,June,July
7,150025643,December,February,April,October
8,150242060,December,March,May,November
9,102814354,November,February,April,July
10,152562369,October,January,May,October
11,152285716,December,February,May,October
12,150276469,December,January,April,July
13,152353771,October,February,May,October
14,152032795,November,January,May,September
15,102108102,October,January,August,September
16,103400467,November,April,May,November
17,102011171,November,February,May,October
18,150114555,October,January,May,September
19,150388311,December,February,January,November
20,152397779,November,February,April,October
21,150905783,December,January,June,October
22,101871660,December,January,April,September
23,151602310,December,February,April,November
24,150521746,November,March,April,September
25,103214692,October,January,April,November
26,102664580,December,March,June,November
27,150830102,December,January,May,October
28,103193554,December,February,April,September
29,150409495,November,March,March,December
30,102217292,December,February,July,September
31,103180947,December,February,April,November
32,103455218,December,February,May,July
33,102297307,November,March,May,July
34,102273200,November,March,May,October
35,102310387,December,March,June,September
36,150277582,October,February,May,September
37,103455223,December,February,May,August
38,102331523,December,February,May,July
39,150617319,December,January,April,September
40,102287600,December,February,May,October
41,152390517,December,February,June,October
42,101928188,December,February,June,July
43,152781653,December,February,May,July
44,103162198,December,January,March,August
45,151927092,December,January,June,August
46,102066029,October,February,June,September
47,102832494,December,January,May,September
48,151704341,December,April,April,November
49,152459858,November,April,June,October
50,151421363,December,February,April,October
51,103317618,December,February,June,July
52,102797250,November,February,June,September
53,150419922,October,March,May,September
54,150222747,December,January,April,October
55,102763969,November,January,May,October
56,100086554,December,February,April,October
57,103456232,December,January,May,September
58,152066666,December,February,May,September
59,101750638,December,April,June,August
60,102021475,October,January,June,October
61,150823234,October,April,June,July
62,101698623,December,March,May,October
63,150853741,October,March,April,September
64,152320394,November,February,March,November
65,150396704,December,January,May,August
66,152637933,October,January,March,November
67,151034639,December,February,April,October
68,103335093,December,March,May,September
69,100099236,December,February,April,July
70,152742865,December,January,May,September
71,103162699,December,January,May,July
72,101645597,December,February,May,July
73,152189251,December,February,April,October
74,103176398,December,March,May,July
75,102236291,December,January,June,October
76,152025600,December,January,May,September
77,150754472,December,February,April,October
78,150260756,November,February,January,November
79,102899968,December,January,May,September
